"","Signature_1","Signature_13","Signature_18","Signature_2","Signature_3","Signature_33","Signature_34","Signature_41","Signature_5","Signature_8","df.extra"
"TCGA.LP.A5U2",73.8279902136187,NA,1101.71865690309,6.48673395158613,682.097350581074,99.5064599949347,NA,NA,2329.11303127445,615.033097339797,682.097350581074
"TCGA.EX.A1H6",NA,328.433974677205,898.00845338996,1526.69305240207,NA,NA,1690.99453553438,6897.01248177922,3960.12792311189,10015.3658125267,0
"TCGA.JX.A3Q0",1170.14476025554,NA,NA,NA,1326.17460898666,528.341358812325,NA,425.201159904574,5595.00121251525,344.993464716153,1326.17460898666
"TCGA.C5.A1MJ",122.077310216734,NA,162.66651970932,13.7288030957964,478.059817778789,124.218014330804,NA,NA,1271.98337349574,201.079118590719,478.059817778789
"TCGA.VS.A8QM",54.7673308656781,38.965085823408,437.404141081072,NA,NA,90.7628539393675,13.184831137361,NA,2431.35778532204,658.987099405591,0
"TCGA.C5.A1MN",13164.6580881353,NA,14472.0797764428,2964.85332416146,NA,NA,NA,8604.00047890507,42916.4997261077,NA,0
"TCGA.VS.A9UQ",132.568492093614,NA,NA,27.757417226057,586.593267897051,137.097136760982,NA,158.069957941132,1953.69732767648,500.896857438111,586.593267897051
"TCGA.VS.A8EB",NA,NA,NA,153.259944128119,1128.82485563632,44.4961212729851,68.5079247838168,1042.69258569344,2159.63450678127,1130.06640965219,1128.82485563632
"TCGA.DG.A2KL",NA,275.135719487034,NA,760.486569728262,2043.33627415522,202.801538640632,NA,1078.78323567624,3778.44050352569,717.320393282841,2043.33627415522
"TCGA.VS.A8EJ",NA,NA,NA,96.8652166960343,1784.47165584747,105.918477567397,NA,944.359786487038,2594.27420695985,540.0790087724,1784.47165584747
"TCGA.MA.AA3Y",NA,NA,NA,17.9786629870844,776.767027976058,8.45589871614126,NA,NA,NA,247.836539813959,776.767027976058
"TCGA.VS.A94W",54.5690711833358,NA,461.114631270629,212.271388808692,4195.64889916724,157.616411596496,67.443114584328,NA,941.220507971234,NA,4195.64889916724
"TCGA.C5.A1MH",NA,NA,NA,105.690193759748,1350.69450024152,56.2459602978757,NA,442.179971570325,1860.87612233558,363.864128637004,1350.69450024152
"TCGA.LP.A4AX",152.836951118343,NA,466.746414546315,NA,707.732546740771,129.987280855344,NA,507.661000266684,2532.521298405,624.435880655457,707.732546740771
"TCGA.EA.A43B",NA,130.271016931233,271.599390699081,82.2660488634283,NA,279.966873541916,NA,412.643903371606,6005.29709495885,1854.67082538971,0
"TCGA.C5.A8ZZ",100.13671748443,115.069968089914,NA,66.0203873249058,666.177412090406,120.511295503705,NA,NA,3093.18289816752,820.735775524012,666.177412090406
"TCGA.JX.A3Q8",NA,489.225244550194,NA,764.763311390463,1435.42995791259,157.829009650515,NA,827.534302783598,2945.58956849355,410.586325594154,1435.42995791259
