"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_28","Signature_3","Signature_31","Signature_34","Signature_40","Signature_5","Signature_8","df.extra"
"TCGA.AX.A3FS",NA,75.3085140430001,NA,NA,NA,95.4519086083814,48.2131409417356,583.503704044623,NA,170.281637111205,900.024170738245,2193.55287071812,379.347416534872,583.503704044623
"TCGA.EO.A3AU",409.319151165009,487.066880112056,NA,92.9064521126695,168.673638798781,130.997964778547,NA,3540.64101144665,NA,NA,NA,3550.57328851796,NA,3540.64101144665
"TCGA.EO.A22S",41.3674141909778,30.8624982999258,NA,NA,84.3787330485645,NA,18.5258794427203,547.547614861449,NA,147.17000256063,NA,1360.39750014344,228.264190497359,547.547614861449
"TCGA.AJ.A2QL",583.56781654141,100.285015110161,NA,NA,NA,NA,115.819065940499,184.018225462438,NA,167.534695191291,2633.30026691749,4759.33470795693,523.891552549106,184.018225462438
"TCGA.DF.A2KU",NA,101.23733670654,NA,NA,NA,81.1581084624645,69.563944524541,938.589035267848,NA,171.741720778857,602.598588811863,3962.78537945185,277.776357443559,938.589035267848
"TCGA.D1.A169",326.671657876236,89.8451500945485,NA,NA,NA,NA,12.7123597375733,NA,NA,NA,1457.42850757231,5464.83961473495,692.16986587827,0
"TCGA.AP.A0L8",619.632274774995,306.673650749429,1317.96076333931,NA,NA,1358.84862218884,NA,2727.24005924671,NA,241.093498468684,2367.5243179947,7389.69964213339,NA,2727.24005924671
"TCGA.A5.A3LP",18.9264082338958,98.4943503324204,NA,NA,NA,35.3010101535584,66.9150366967814,1274.83426278162,NA,109.899909638913,NA,2693.73345942384,164.04872642677,1274.83426278162
"TCGA.BG.A0MG",135.335145877703,68.8093255658759,73.6008353703328,NA,NA,NA,NA,NA,NA,71.1138315313034,1351.46194760778,2114.09696590112,455.919918218473,0
"TCGA.D1.A101",96.4460132622137,NA,2754.58908526626,NA,505.386020327155,1986.94045867144,18.1576524553987,349.353322081629,NA,NA,NA,2044.19580814118,880.851391651375,349.353322081629
