"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_34","Signature_35","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.24.1850",74.0560814799694,32.2149302984838,24.4130942499462,NA,73.004845543149,NA,388.442211193209,NA,NA,NA,1270.98314842328,117.407324117927,134.973698778575,388.442211193209
"TCGA.13.0916",540.102670820359,52.151227178301,NA,11.71189128539,NA,NA,2152.0383687904,NA,NA,40.1878110963167,5030.23746146346,NA,855.990902774184,2152.0383687904
"TCGA.25.2400",121.015713364656,159.234206151954,68.3110981384908,NA,273.971932578113,117.981444356777,1422.18239648464,NA,NA,NA,806.611458379523,NA,305.615913220798,1422.18239648464
"TCGA.29.1775",NA,50.2297538388621,94.6228886631946,NA,NA,36.4192427506279,1552.72502501538,NA,NA,342.277656453109,2144.56795917023,514.921958163509,720.915466257367,1552.72502501538
"TCGA.24.2290",45.3242324201725,NA,NA,NA,264.813453766594,11.8306571840085,550.676026877442,NA,58.7754056794607,NA,1086.6093010284,88.4182941219629,174.964755063045,550.676026877442
"TCGA.61.1995",2671.12489961912,NA,NA,370.685437273739,11673.6441805321,723.582216843301,NA,NA,1731.86258239831,3893.37280166418,17762.2988677276,NA,458.948603882525,0
"TCGA.VG.A8LO",110.26183376826,274.529947876588,NA,65.7609650741218,451.896480943773,252.84223180403,3143.14630489025,NA,NA,NA,1319.79908810756,NA,1145.36733357781,3143.14630489025
"TCGA.24.2019",344.317564090478,428.243222721846,NA,76.582069004013,527.552412991914,159.865402117896,3844.43656070387,NA,NA,NA,3491.64644898942,NA,1327.30453339877,3844.43656070387
"TCGA.29.2434",78.2103573898344,29.5261074519071,NA,21.0614489782403,NA,NA,757.667932647106,NA,NA,NA,1141.83072998642,NA,439.231855831527,757.667932647106
"TCGA.25.1312",513.327166277171,87.8030127999701,89.9079711051379,NA,394.544976571873,NA,746.497769017829,NA,NA,NA,7173.65324007259,860.547214209294,1044.7182426547,746.497769017829
"TCGA.24.2035",58.2846049737462,NA,NA,NA,166.999107708422,38.5420124954491,1762.20676387395,255.031144121538,198.986735165178,NA,977.582718669778,NA,1577.92019364006,1762.20676387395
"TCGA.59.2372",52.7221628636229,NA,16.0104347637784,NA,236.900223839721,NA,149.447611085974,455.106311526687,524.165497404172,NA,208.939902350236,NA,2480.64799192116,149.447611085974
"TCGA.29.2432",NA,94.8542964055967,32.4312287659742,15.7392517406469,NA,150.997981141183,955.029161654418,NA,NA,NA,1971.41687619343,396.548174135558,687.123818806562,955.029161654418
