"","Signature_1","Signature_13","Signature_17a","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_30","Signature_34","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.E9.A1RI",96.5656300350636,NA,59.2474447582469,NA,617.199386032215,NA,477.589959914279,NA,NA,24.2548896991421,2334.02837584193,97.5567029187093,161.461346788335,477.589959914279
"TCGA.BH.A0H9",116.070986420635,158.467835816453,163.771497546623,NA,NA,143.890458886539,1291.238905753,NA,NA,NA,4922.85522042419,357.114693043158,1468.14917354417,1291.238905753
"TCGA.A8.A09B",NA,34.8637060349953,56.992472644935,8.49357008838086,689.729715093551,82.7038333144757,249.710811093554,NA,NA,NA,1138.72470806486,789.035771559293,NA,249.710811093554
"TCGA.AC.A62X",247.847934284546,266.500169043231,NA,NA,382.485743784507,94.9213587354135,975.885881590407,NA,NA,NA,5046.59060778884,571.274553038641,970.906095067254,975.885881590407
"TCGA.W8.A86G",138.836041233676,NA,38.6400748650376,27.0115192117569,280.714839741645,42.3843392768391,1123.96670955023,NA,NA,NA,1023.14222510731,NA,277.192743306504,1123.96670955023
"TCGA.E2.A1IJ",NA,NA,69.8196210429771,NA,260.427913565795,NA,646.911534700387,58.1515806018867,NA,167.707970467893,1225.71274524515,162.589543967191,200.608437973169,646.911534700387
"TCGA.A8.A081",NA,136.058373117338,NA,NA,958.164457572225,323.73765301792,4380.21440222588,842.669920732315,NA,2876.82530256697,NA,2993.5432866364,3975.58726149598,4380.21440222588
"TCGA.EW.A1P8",64.1067878726302,NA,30.799196042938,NA,109.583067871786,42.7168094317265,916.760650138679,NA,NA,NA,1158.01066110382,52.2285402455678,294.915008465042,916.760650138679
"TCGA.AO.A12H",1484.33491566908,165.02798233976,271.207061809874,NA,491.852742149176,NA,2572.70157782011,NA,NA,NA,16147.3941008909,1902.58812124111,2067.30611923407,2572.70157782011
"TCGA.BH.A0B4",152.661629399621,139.745610080472,117.57966449144,NA,328.670737389115,134.480140136761,1088.92133412968,NA,NA,NA,2828.62482903662,NA,371.979538619894,1088.92133412968
"TCGA.AC.A2FK",177.815104017784,NA,149.58815003965,46.0697560311462,222.673422524751,101.677385290849,1813.7547767415,NA,NA,NA,890.333065703949,NA,416.546509735608,1813.7547767415
"TCGA.GM.A2DK",157.97940049722,NA,125.946084999762,NA,293.840111091137,NA,600.629956380902,44.1503478485222,NA,101.508055677944,2450.02667964159,NA,169.986751694802,600.629956380902
"TCGA.A2.A0CV",136.779763227799,NA,133.129839196615,44.4577263364222,459.058258145281,151.789297903144,2081.14363086068,NA,NA,NA,886.575658399416,NA,434.49998253501,2081.14363086068
"TCGA.D8.A27I",NA,351.309645724836,124.65751154457,NA,NA,280.873703335373,997.834306533455,214.204873685022,NA,NA,3338.82464754803,864.014508432987,1251.52684930057,997.834306533455
"TCGA.EW.A6S9",109.956472633254,NA,167.173887702452,27.0665261461114,88.3433168848089,77.118776495571,1776.16806232523,NA,NA,NA,2427.70031372911,NA,840.346982121675,1776.16806232523
"TCGA.XX.A89A",145.093967534643,NA,81.7533646959155,NA,NA,24.7337726057518,704.488805487529,NA,NA,114.817241959334,1288.60241916774,203.869304352321,125.147396675691,704.488805487529
"TCGA.B6.A0RO",165.589076815684,NA,161.864183654118,4.42955835803492,29.7839004476186,43.9436106475166,1507.67737620236,NA,NA,NA,2518.4988805136,NA,479.639946992541,1507.67737620236
"TCGA.E9.A5UO",126.68138102274,25.013882221107,147.866402992022,15.7493790131039,NA,52.9161304404124,1760.95943436605,NA,NA,NA,1811.58172365924,NA,587.288275982698,1760.95943436605
"TCGA.E9.A54Y",358.169685009834,NA,353.000701541606,NA,NA,NA,NA,NA,NA,NA,9139.73396139128,140.050677462959,1509.78954591196,0
"TCGA.E2.A15I",192.760411369185,5831.63579507933,115.443719156227,NA,NA,3781.67642246556,826.639497455027,131.899453274051,NA,146.378944995336,2059.13931873574,NA,NA,826.639497455027
"TCGA.E2.A15S",11952.9668712821,NA,NA,473.865560296541,11259.3197283706,NA,NA,5787.49506911276,NA,6972.73748903854,23081.1830178227,3255.39192046724,NA,0
